"","Age","Height","Weight"
"307",15,68.503937007874,138.89106
"308",19,69.2913385826772,149.91416
"309",19,70.0787401574803,149.91416
"310",16,62.2047244094488,110.231
"312",18,65.748031496063,125.66334
"314",20,66.9291338582677,121.2541
"317",20,66.9291338582677,132.2772
"319",16,66.5354330708661,105.82176
"320",18,65.3543307086614,143.3003
"322",16,63.7795275590551,121.2541
"323",18,62.992125984252,110.231
"325",18,66.1417322834646,143.3003
"327",19,68.8976377952756,127.86796
"328",20,65.748031496063,121.2541
"330",17,62.992125984252,132.2772
"331",22,67.3228346456693,114.64024
"333",22,64.9606299212598,132.2772
"334",16,68.503937007874,143.3003
"335",24,66.5354330708661,110.231
"339",15,64.9606299212598,105.82176
"340",18,62.992125984252,110.231
"341",18,62.2047244094488,116.84486
"343",20,68.1102362204724,149.91416
"344",29,66.1417322834646,123.45872
"345",24,67.7165354330709,149.91416
"346",18,64.5669291338583,132.2772
"350",17,66.9291338582677,143.3003
"352",16,66.5354330708661,138.89106
"354",18,65.3543307086614,132.2772
"355",20,63.3858267716535,130.07258
"360",20,72.4409448818898,158.73264
"361",23,70.8661417322835,136.68644
"362",19,65.3543307086614,127.86796
"363",19,65.748031496063,110.231
"364",19,65.748031496063,110.231
"369",18,70.4724409448819,121.2541
"371",19,66.1417322834646,127.86796
"372",19,64.5669291338583,116.84486
"375",21,69.2913385826772,136.68644
"376",20,66.9291338582677,132.2772
"377",20,66.9291338582677,123.45872
"378",17,62.2047244094488,154.3234
"379",20,68.8976377952756,116.84486
"381",20,66.9291338582677,127.86796
"382",21,68.1102362204724,127.86796
"383",21,62.2047244094488,108.02638
"385",19,66.9291338582677,127.86796
"387",19,65.3543307086614,121.2541
"388",25,65.748031496063,141.09568
"389",25,66.5354330708661,132.2772
"390",21,66.1417322834646,132.2772
"392",24,64.9606299212598,108.02638
"393",30,62.992125984252,103.61714
"397",16,64.5669291338583,110.231
"398",21,68.8976377952756,165.3465
"399",20,64.9606299212598,132.2772
"400",22,62.992125984252,143.3003
"402",20,66.9291338582677,198.4158
"405",20,65.748031496063,125.66334
"407",21,66.1417322834646,132.2772
"408",19,65.3543307086614,97.00328
"409",21,64.5669291338583,127.86796
"410",16,64.9606299212598,110.231
"412",18,68.1102362204724,132.2772
"413",21,66.1417322834646,119.04948
"416",19,68.1102362204724,152.11878
"417",20,66.9291338582677,119.04948
"419",18,67.7165354330709,132.2772
"420",23,62.2047244094488,116.84486
"421",20,64.9606299212598,114.64024
"422",18,66.1417322834646,121.2541
"423",28,70.8661417322835,167.55112
"424",24,64.1732283464567,147.70954
"425",19,60.6299212598425,132.2772
"426",21,63.3858267716535,125.66334
"427",22,62.992125984252,143.3003
"429",18,64.5669291338583,123.45872
"430",21,63.7795275590551,136.68644
"431",19,66.9291338582677,116.84486
"434",19,66.9291338582677,123.45872
"436",18,68.1102362204724,132.2772
"438",18,64.1732283464567,121.2541
"439",18,70.8661417322835,163.14188
"441",19,64.5669291338583,127.86796
"442",19,61.0236220472441,105.82176
"443",18,64.1732283464567,127.86796
"444",18,63.7795275590551,119.04948
